first_name,last_name,order_date,order_amount
Douglas,Keller,2024-02-29,6902.70
Jeffrey,Turner,2025-09-28,3171.09
Bruce,Fry,2024-12-15,5605.31
Nichole,Buck,2024-07-14,2878.60
Connie,Simmons,2026-03-20,6766.54
Tyler,Compton,2025-02-16,8957.70
Shelly,Powers,2025-03-19,8183.95
Kristi,Flores,2023-10-27,2905.23
Robert,Hernandez,2024-08-12,9553.17
Nicholas,Webster,2023-06-11,3464.29
Thomas,Atkinson,2025-06-24,6560.06
Kevin,Zimmerman,2025-09-08,2140.65
Linda,Melendez,2026-01-08,2712.05
Anna,Faulkner,2026-02-25,6962.01
Angela,Anderson,2023-10-09,1093.16
John,Harris,2026-04-16,2393.58
Deborah,Nielsen,2023-04-14,6698.66
Melanie,Davis,2025-12-23,2257.49
Jenny,Lee,2024-04-21,525.86
Joseph,Nunez,2025-04-26,3303.60
Carrie,Russo,2025-08-25,1006.35
Jacob,Gill,2023-10-09,52.81
Jennifer,Hansen,2026-02-01,9779.12
Timothy,Booth,2023-11-20,4069.66
Mason,Krueger,2025-09-01,4775.00
Alexis,Giles,2024-02-13,7559.35
Suzanne,Wilson,2024-08-11,3212.35
Yvonne,Mendoza,2026-08-15,592.57
John,Munoz,2023-07-03,6523.33
James,Herman,2024-04-20,5351.98
Andrea,Rowe,2023-03-18,9132.37
Oscar,Ferguson,2023-12-25,4179.43
Michael,Green,2023-12-27,9339.28
William,Crawford,2023-03-16,9971.71
Corey,Zavala,2025-03-24,7879.81
Terrance,Franco,2024-01-17,9366.14
Robin,Wood,2024-08-15,8767.55
Robert,Hart,2023-01-19,2984.62
Jeffrey,Thomas,2026-05-19,1073.90
Jose,Donovan,2024-11-17,2846.33
Beth,Butler,2026-08-06,5433.46
Elijah,Rivera,2025-10-08,8892.70
Noah,Whitaker,2023-10-02,8510.74
Victor,Pena,2025-08-16,2729.10
Gail,Scott,2023-08-19,3307.51
Lorraine,Levy,2025-07-28,6483.20
Darlene,Henry,2024-01-17,141.83
Gary,Norton,2024-11-21,7907.88
Gary,Cortez,2026-03-08,6744.33
Tracy,Stark,2024-01-31,1755.77
Amber,May,2026-08-01,8970.52
Brian,Johnson,2025-05-25,5153.29
Melanie,Landry,2023-06-27,4008.93
Elizabeth,Duran,2023-07-15,1848.63
Robert,Kirby,2023-10-15,4775.06
Jesse,Mann,2024-05-23,69.29
Albert,Wagner,2025-02-24,2355.97
Nathaniel,Williamson,2024-06-30,9540.38
Elizabeth,Jensen,2024-09-10,5825.02
Timothy,Freeman,2026-03-19,115.35
Adam,Arnold,2025-01-06,6927.99
Alexander,Moreno,2023-05-08,6678.19
Joshua,Madden,2025-08-11,3068.75
Andre,Li,2025-04-10,6861.04
Emily,Drake,2024-09-28,6903.21
Renee,Rodriguez,2026-08-01,9161.38
Cole,Hernandez,2024-08-27,3676.07
James,Fox,2024-03-28,2192.06
Lisa,Adams,2023-10-01,4782.34
Randy,Watson,2025-07-20,7477.59
Richard,Cunningham,2026-05-25,3736.87
Veronica,Perez,2026-01-29,9128.05
Gabriella,Abbott,2026-01-05,8020.14
Desiree,Garrison,2024-03-23,7618.83
Katherine,Davis,2026-05-05,8731.47
Nicholas,Tran,2023-06-17,5255.54
Brian,Smith,2025-12-17,7037.95
George,Porter,2023-06-09,9172.52
Ryan,Mueller,2023-08-18,618.52
Ariel,Hodge,2026-01-26,9028.97
Cody,Rice,2024-02-19,5727.44
Brad,Lewis,2023-11-03,1646.21
Miranda,Clay,2025-12-01,4418.96
Thomas,Williams,2024-02-25,7169.46
Charles,Frost,2025-09-28,910.32
Rachel,Elliott,2025-11-11,4455.38
Antonio,Mcfarland,2023-04-24,4534.87
Leonard,Ali,2025-11-17,4154.83
Brenda,Goodwin,2026-02-28,578.31
