first_name,last_name,order_date,order_amount
Danielle,Johnson,2026-08-02,1114.20
Joshua,Walker,2024-07-17,2449.67
Jill,Rhodes,2023-10-13,7364.97
Patricia,Miller,2026-01-21,870.30
Robert,Johnson,2025-05-14,318.79
Jeffery,Wagner,2023-07-11,2187.16
Anthony,Gonzalez,2025-10-31,6020.58
Debra,Gardner,2026-02-23,1989.18
Jeffrey,Lawrence,2026-08-23,7013.54
Lisa,Smith,2025-05-09,2205.18
Linda,Wolfe,2026-04-21,2782.63
Matthew,Moore,2023-01-14,7588.31
Susan,Rogers,2023-11-23,6981.69
Christopher,Davis,2024-11-27,2779.43
Melanie,Munoz,2024-03-16,9572.16
Lindsay,Blair,2024-11-20,1023.00
Amanda,Dudley,2025-02-17,968.07
Nicholas,Arnold,2024-12-05,6037.65
Maria,Montgomery,2023-03-30,7297.58
Michelle,Ray,2026-01-03,1249.14
Janet,Williams,2025-02-14,788.92
Jeremy,Roberts,2024-08-23,8294.21
Christopher,Hall,2026-06-20,8854.62
Craig,Ramirez,2025-01-10,5773.94
Cynthia,Diaz,2023-05-23,459.20
Mitchell,Clark,2024-04-11,7730.90
Joseph,Zuniga,2023-06-13,8553.31
Deborah,Lynch,2023-07-26,3801.88
George,Daniel,2025-07-17,6357.20
Frank,Gray,2025-01-17,1627.38
Veronica,Bowman,2024-12-28,2095.86
Angela,Cohen,2024-06-30,7018.49
Megan,Parsons,2026-08-20,714.95
Jeremy,Johnson,2026-07-24,1712.21
Leslie,Adams,2024-05-16,1634.86
Jason,Hahn,2025-02-16,2700.21
Nancy,Edwards,2026-08-03,6881.92
Diana,Foster,2024-03-25,6846.45
Robin,Ellis,2023-04-25,2291.25
Joseph,Wright,2023-03-07,8050.64
Anna,Baker,2025-04-01,2678.14
Brenda,Hurst,2024-03-08,9131.44
Reginald,Robinson,2026-03-07,8763.79
Whitney,Hicks,2024-10-06,2127.05
Christopher,Williams,2025-10-19,3956.92
Daniel,Burton,2026-08-09,4589.06
Laura,Henderson,2024-06-26,1397.16
Bryan,James,2026-02-23,5390.23
Wendy,Rice,2026-04-12,4284.91
Tasha,Valencia,2026-04-10,3994.60
Alexander,Le,2024-03-25,9973.25
Erin,Herrera,2023-10-11,5095.75
Joseph,Davidson,2023-07-06,7558.06
Daniel,Graham,2023-08-13,1529.26
Shawn,Mckay,2023-11-24,7920.99
Nancy,Baker,2025-05-14,5964.49
Vincent,White,2025-02-27,3816.81
Rita,Harrell,2025-08-16,5291.61
Kenneth,Fowler,2026-02-07,8607.93
Chelsea,Hernandez,2023-01-24,6803.15
Kathryn,Ryan,2023-08-23,6817.42
Kimberly,Moreno,2026-01-04,7509.02
Aaron,Nguyen,2026-08-05,3402.41
Andrew,Hickman,2024-08-24,4348.21
Natasha,Decker,2025-07-18,33.45
Kyle,Brown,2024-06-23,9718.90
Natalie,Arroyo,2024-01-01,5077.30
Christopher,Tucker,2023-08-06,8705.31
Chad,Hodges,2024-09-03,8416.84
Katie,Anderson,2025-11-05,6090.09
Thomas,Pierce,2023-11-10,3739.76
Joseph,Brennan,2023-11-27,5394.25
Rodney,Lewis,2025-12-22,9185.01
Amber,Blair,2026-05-11,3242.23
James,Collins,2023-02-09,1119.56
Wanda,Santos,2025-01-13,8787.33
Samuel,Holmes,2024-09-21,2395.28
David,Walker,2024-05-08,8780.21
Matthew,Chapman,2023-06-11,857.45
Jerry,Robinson,2025-09-22,8160.41
Chad,Welch,2025-12-26,7658.57
Jeremy,Whitehead,2023-09-20,6597.84
Michele,Jones,2026-01-30,1652.10
John,Caldwell,2025-12-16,8724.45
Jason,Anderson,2025-05-16,9643.66
Selena,Duncan,2026-01-09,7552.89
Thomas,Mueller,2024-02-16,7129.77
Lindsey,Lee,2025-03-28,9951.49
Collin,Jordan,2026-08-23,3734.83
Rodney,Owens,2025-11-25,4515.41
Jessica,Nunez,2024-05-22,2247.75
Tracey,Garcia,2024-11-23,211.32
Richard,Morgan,2026-02-08,2301.91
Michelle,Wright,2024-03-27,72.90
James,West,2026-07-16,589.68
Robert,Ramirez,2023-05-19,9054.29
John,Leblanc,2024-11-07,709.50
Scott,Callahan,2024-05-02,2785.49
Andrea,Williams,2025-09-21,2143.15
Yvette,Huff,2023-09-28,7233.80
Tanya,House,2026-03-15,5762.53
Melinda,Martin,2024-05-12,7846.40
Todd,Lewis,2025-04-13,1904.91
Richard,Brown,2023-07-18,6590.16
Nicholas,Galloway,2024-12-26,4236.36
Joseph,Bowers,2025-08-14,8638.50
Spencer,Henderson,2023-04-21,6733.97
Susan,Cowan,2026-08-16,985.08
Angela,Higgins,2025-04-04,7282.40
Eric,Phillips,2023-08-12,2487.31
Tanya,Riley,2024-01-25,5363.32
Amy,Adkins,2023-10-15,4219.39
Brian,Silva,2024-07-24,4626.81
Wesley,Farrell,2023-06-04,4431.86
Eric,Yu,2026-02-01,979.99
Christopher,Lopez,2026-08-28,9992.82
Brooke,Leonard,2023-01-31,9689.98
Joe,Wilson,2024-04-29,1663.94
Pamela,Sanchez,2025-09-21,4814.10
Brooke,Harvey,2025-04-01,9024.52
Robert,Silva,2023-12-04,3790.35
Alexandra,Donovan,2025-03-10,2652.76
James,Moran,2025-07-20,2853.20
John,Foster,2026-02-12,6619.04
Emily,Evans,2025-09-23,1548.81
Leslie,Walton,2024-08-30,2177.79
Charles,Ellis,2023-04-30,5792.22
Yolanda,Ferrell,2026-01-15,610.51
Charles,Lewis,2024-10-04,572.59
Joseph,Mahoney,2026-04-11,4768.40
Nicole,Suarez,2025-12-23,1575.17
Mike,Moore,2025-11-06,802.03
Martha,Warner,2024-01-16,686.14
Cheryl,Archer,2023-05-20,6752.44
Destiny,Smith,2024-04-26,4038.35
Lisa,Evans,2026-03-12,2462.90
Elizabeth,Mcmillan,2026-05-02,398.38
Dennis,Wilson,2023-06-17,4192.83
Daniel,Tran,2026-04-10,5652.70
Joseph,Jacobs,2024-10-09,9347.12
Jennifer,Harris,2024-02-23,6697.58
Cynthia,Baker,2024-10-05,2387.62
Tracy,Whitehead,2025-03-21,1309.65
Meghan,Davis,2026-08-14,3000.67
Rodney,Hill,2024-10-09,9290.25
Adam,Wise,2023-05-29,94.15
Dana,Green,2026-06-26,9984.54
Joyce,Arnold,2023-07-24,733.53
Ronald,Smith,2024-03-12,5059.34
Charles,Ware,2023-09-29,9332.65
Rebecca,Gardner,2023-05-21,8792.81
Mary,Aguilar,2025-01-26,2850.59
Earl,Anderson,2025-06-16,8337.61
Kyle,Nolan,2024-09-11,6117.16
Laura,Valencia,2025-12-19,79.22
Rachel,Clark,2026-02-09,2994.49
John,Garcia,2023-08-01,9389.35
Kimberly,Henson,2023-10-03,2645.39
Richard,Oliver,2023-08-08,7424.42
Eric,Spears,2023-11-15,2724.21
Michelle,Cherry,2026-05-23,2107.08
Lisa,Keith,2024-12-03,2036.77
Angel,Doyle,2026-07-22,8529.27
Martin,Galvan,2025-11-01,4885.83
Leah,Shields,2023-04-15,923.89
Lisa,Adams,2025-05-17,8293.64
Kristin,Rodriguez,2023-04-01,36.45
Monica,Garrison,2023-09-25,6371.49
Jeffrey,Velasquez,2024-06-20,1616.66
Steven,Torres,2025-06-23,5517.25
Laura,Perez,2025-05-25,5609.50
Andrew,Lee,2023-08-18,753.36
Mark,Lin,2023-11-02,5456.35
Tammy,Ramirez,2025-01-26,5825.51
Darlene,Ross,2023-10-31,4298.43
Tina,Herrera,2023-03-27,3083.27
Sheila,Wilson,2023-03-23,8989.34
Tara,White,2024-03-06,6820.98
Sydney,Baker,2023-07-30,3537.43
Daniel,Hamilton,2026-02-20,8841.45
Jessica,Edwards,2025-04-12,9738.39
Catherine,Dixon,2023-11-13,9257.70
Paul,Ray,2024-04-29,8646.18
Jonathan,Fletcher,2023-12-29,8814.27
Aaron,Frost,2023-02-20,1794.43
Amanda,Ball,2024-11-11,7824.07
Judy,Lambert,2025-04-23,8022.54
Michael,Jones,2024-05-23,2668.79
Elizabeth,Rivera,2023-08-10,3826.03
Lee,Charles,2023-03-21,8586.07
Jennifer,Evans,2024-03-31,1996.53
Kyle,Ortiz,2025-07-31,3497.23
Richard,Phillips,2024-04-11,2230.01
David,Fisher,2024-01-31,3985.26
Shelby,Byrd,2024-07-24,8643.66
Raven,Gilbert,2024-07-25,3512.11
Kevin,Kelley,2025-11-09,3997.38
